year,state,region,sightings_per_100k
1979,NV,West,NA
1979,NY,Northeast,NA
1979,OH,Midwest,NA
1979,OK,South,NA
1979,OR,West,NA
1979,PA,Northeast,NA
1979,RI,Northeast,NA
1979,SC,South,NA
1979,SD,Midwest,NA
1979,TN,South,NA
1979,TX,South,NA
1979,UT,West,NA
1979,VA,South,NA
1979,VT,Northeast,NA
1979,WA,West,NA
1979,WI,Midwest,NA
1979,WV,South,NA
1980,AK,West,NA
1980,AL,South,NA
1980,AR,South,NA
1980,AZ,West,NA
1980,CA,West,NA
1980,CO,West,NA
1980,CT,Northeast,NA
1980,DE,South,NA
1980,FL,South,NA
1980,GA,South,NA
1980,HI,West,NA
1980,IA,Midwest,NA
1980,ID,West,NA
1980,IL,Midwest,NA
1980,IN,Midwest,NA
1980,KS,Midwest,NA
1980,KY,South,NA
1980,LA,South,NA
1980,MA,Northeast,NA
1980,MD,South,NA
1980,ME,Northeast,NA
1980,MI,Midwest,NA
1980,MN,Midwest,NA
1980,MO,Midwest,NA
1980,NC,South,NA
1980,NE,Midwest,NA
1980,NH,Northeast,NA
1980,NJ,Northeast,NA
1980,NM,West,NA
1980,NV,West,NA
1980,NY,Northeast,NA
1980,OH,Midwest,NA
1980,OK,South,NA
1980,OR,West,NA
1980,PA,Northeast,NA
1980,SC,South,NA
1980,TN,South,NA
1980,TX,South,NA
1980,UT,West,NA
1980,VA,South,NA
1980,VT,Northeast,NA
1980,WA,West,NA
1980,WI,Midwest,NA
1980,WV,South,NA
1980,WY,West,NA
1981,AK,West,NA
1981,AL,South,NA
1981,AR,South,NA
1981,AZ,West,NA
1981,CA,West,NA
1981,CO,West,NA
1981,CT,Northeast,NA
1981,DE,South,NA
1981,FL,South,NA
1981,GA,South,NA
1981,IA,Midwest,NA
1981,ID,West,NA
1981,IL,Midwest,NA
1981,IN,Midwest,NA
1981,KS,Midwest,NA
1981,KY,South,NA
1981,LA,South,NA
1981,MA,Northeast,NA
1981,MD,South,NA
1981,ME,Northeast,NA
1981,MI,Midwest,NA
1981,MN,Midwest,NA
1981,MO,Midwest,NA
1981,MS,South,NA
1981,NC,South,NA
1981,NE,Midwest,NA
1981,NH,Northeast,NA
1981,NJ,Northeast,NA
1981,NM,West,NA
1981,NV,West,NA
1981,NY,Northeast,NA
1981,OH,Midwest,NA
1981,OK,South,NA
1981,OR,West,NA
1981,PA,Northeast,NA
1981,RI,Northeast,NA
1981,SC,South,NA
1981,SD,Midwest,NA
1981,TN,South,NA
1981,TX,South,NA
1981,UT,West,NA
1981,VA,South,NA
1981,VT,Northeast,NA
1981,WA,West,NA
1981,WI,Midwest,NA
1982,AK,West,NA
1982,AR,South,NA
1982,AZ,West,NA
1982,CA,West,NA
1982,CO,West,NA
1982,CT,Northeast,NA
1982,DE,South,NA
1982,FL,South,NA
1982,GA,South,NA
1982,IA,Midwest,NA
1982,ID,West,NA
1982,IL,Midwest,NA
1982,IN,Midwest,NA
1982,KS,Midwest,NA
1982,KY,South,NA
1982,LA,South,NA
1982,MA,Northeast,NA
1982,MD,South,NA
1982,ME,Northeast,NA
1982,MI,Midwest,NA
1982,MN,Midwest,NA
1982,MO,Midwest,NA
1982,MS,South,NA
1982,MT,West,NA
1982,NC,South,NA
1982,ND,Midwest,NA
1982,NE,Midwest,NA
1982,NJ,Northeast,NA
1982,NM,West,NA
1982,NV,West,NA
1982,NY,Northeast,NA
1982,OH,Midwest,NA
1982,OK,South,NA
1982,OR,West,NA
1982,PA,Northeast,NA
1982,RI,Northeast,NA
1982,SC,South,NA
1982,TN,South,NA
1982,TX,South,NA
1982,UT,West,NA
1982,VA,South,NA
1982,VT,Northeast,NA
1982,WA,West,NA
1982,WI,Midwest,NA
1982,WV,South,NA
1983,AK,West,NA
1983,AR,South,NA
1983,AZ,West,NA
1983,CA,West,NA
1983,CO,West,NA
1983,CT,Northeast,NA
1983,FL,South,NA
1983,GA,South,NA
1983,HI,West,NA
1983,IA,Midwest,NA
1983,ID,West,NA
1983,IL,Midwest,NA
1983,IN,Midwest,NA
1983,KS,Midwest,NA
1983,LA,South,NA
1983,MA,Northeast,NA
1983,MI,Midwest,NA
1983,MN,Midwest,NA
1983,MO,Midwest,NA
1983,MS,South,NA
1983,NC,South,NA
1983,ND,Midwest,NA
1983,NE,Midwest,NA
1983,NH,Northeast,NA
1983,NJ,Northeast,NA
1983,NM,West,NA
1983,NV,West,NA
1983,NY,Northeast,NA
1983,OH,Midwest,NA
1983,OK,South,NA
1983,OR,West,NA
1983,PA,Northeast,NA
1983,RI,Northeast,NA
1983,SC,South,NA
1983,SD,Midwest,NA
1983,TX,South,NA
1983,UT,West,NA
1983,VA,South,NA
1983,WA,West,NA
1983,WI,Midwest,NA
1983,WV,South,NA
1983,WY,West,NA
1984,AK,West,NA
1984,AL,South,NA
1984,AR,South,NA
1984,AZ,West,NA
1984,CA,West,NA
1984,CT,Northeast,NA
1984,DE,South,NA
1984,FL,South,NA
1984,GA,South,NA
1984,HI,West,NA
1984,IA,Midwest,NA
1984,ID,West,NA
1984,IL,Midwest,NA
1984,IN,Midwest,NA
1984,KY,South,NA
1984,LA,South,NA
1984,MA,Northeast,NA
1984,MD,South,NA
1984,ME,Northeast,NA
1984,MI,Midwest,NA
1984,MN,Midwest,NA
1984,MO,Midwest,NA
1984,MS,South,NA
1984,MT,West,NA
1984,NC,South,NA
1984,NE,Midwest,NA
1984,NH,Northeast,NA
1984,NJ,Northeast,NA
1984,NM,West,NA
1984,NV,West,NA
1984,NY,Northeast,NA
1984,OH,Midwest,NA
1984,OR,West,NA
1984,PA,Northeast,NA
1984,SC,South,NA
1984,SD,Midwest,NA
1984,TN,South,NA
1984,TX,South,NA
1984,UT,West,NA
1984,VA,South,NA
1984,WA,West,NA
1984,WI,Midwest,NA
1984,WV,South,NA
1984,WY,West,NA
1985,AK,West,NA
1985,AL,South,NA
1985,AR,South,NA
1985,AZ,West,NA
1985,CA,West,NA
1985,CO,West,NA
1985,CT,Northeast,NA
1985,FL,South,NA
1985,GA,South,NA
1985,HI,West,NA
1985,IL,Midwest,NA
1985,IN,Midwest,NA
1985,KS,Midwest,NA
1985,KY,South,NA
1985,LA,South,NA
1985,MA,Northeast,NA
1985,MD,South,NA
1985,MI,Midwest,NA
1985,MN,Midwest,NA
1985,MO,Midwest,NA
1985,NC,South,NA
1985,NE,Midwest,NA
1985,NH,Northeast,NA
1985,NJ,Northeast,NA
1985,NM,West,NA
1985,NV,West,NA
1985,NY,Northeast,NA
1985,OH,Midwest,NA
1985,OK,South,NA
1985,OR,West,NA
1985,PA,Northeast,NA
1985,SC,South,NA
1985,TN,South,NA
1985,TX,South,NA
1985,UT,West,NA
1985,VA,South,NA
1985,VT,Northeast,NA
1985,WA,West,NA
1985,WI,Midwest,NA
1985,WV,South,NA
1985,WY,West,NA
1986,AK,West,NA
1986,AL,South,NA
1986,AR,South,NA
1986,AZ,West,NA
1986,CA,West,NA
1986,CO,West,NA
1986,CT,Northeast,NA
1986,FL,South,NA
1986,GA,South,NA
1986,HI,West,NA
1986,IA,Midwest,NA
1986,IL,Midwest,NA
1986,IN,Midwest,NA
1986,KS,Midwest,NA
1986,KY,South,NA
1986,LA,South,NA
1986,MA,Northeast,NA
1986,MD,South,NA
1986,MI,Midwest,NA
1986,MO,Midwest,NA
1986,MS,South,NA
1986,MT,West,NA
1986,NC,South,NA
1986,NE,Midwest,NA
1986,NH,Northeast,NA
1986,NJ,Northeast,NA
1986,NM,West,NA
1986,NV,West,NA
1986,NY,Northeast,NA
1986,OH,Midwest,NA
1986,OK,South,NA
1986,OR,West,NA
1986,PA,Northeast,NA
1986,SC,South,NA
1986,TN,South,NA
1986,TX,South,NA
1986,UT,West,NA
1986,VA,South,NA
1986,WA,West,NA
1986,WI,Midwest,NA
1986,WV,South,NA
1987,AK,West,NA
1987,AL,South,NA
1987,AR,South,NA
1987,AZ,West,NA
1987,CA,West,NA
1987,CO,West,NA
1987,CT,Northeast,NA
1987,FL,South,NA
1987,GA,South,NA
1987,IA,Midwest,NA
1987,IL,Midwest,NA
1987,IN,Midwest,NA
1987,KS,Midwest,NA
1987,KY,South,NA
1987,LA,South,NA
1987,MA,Northeast,NA
1987,MD,South,NA
1987,ME,Northeast,NA
1987,MI,Midwest,NA
1987,MN,Midwest,NA
1987,MO,Midwest,NA
1987,MS,South,NA
1987,MT,West,NA
1987,NC,South,NA
1987,NE,Midwest,NA
1987,NH,Northeast,NA
1987,NJ,Northeast,NA
1987,NM,West,NA
1987,NV,West,NA
1987,NY,Northeast,NA
1987,OH,Midwest,NA
1987,OK,South,NA
1987,OR,West,NA
1987,PA,Northeast,NA
1987,RI,Northeast,NA
1987,SD,Midwest,NA
1987,TN,South,NA
1987,TX,South,NA
1987,UT,West,NA
1987,VA,South,NA
1987,VT,Northeast,NA
1987,WA,West,NA
1987,WI,Midwest,NA
1987,WV,South,NA
1987,WY,West,NA
1988,AK,West,NA
1988,AL,South,NA
1988,AR,South,NA
1988,AZ,West,NA
1988,CA,West,NA
1988,CO,West,NA
1988,CT,Northeast,NA
1988,DE,South,NA
1988,FL,South,NA
1988,GA,South,NA
1988,HI,West,NA
1988,IL,Midwest,NA
1988,IN,Midwest,NA
1988,KY,South,NA
1988,LA,South,NA
1988,MA,Northeast,NA
1988,MD,South,NA
1988,ME,Northeast,NA
1988,MI,Midwest,NA
1988,MN,Midwest,NA
1988,MO,Midwest,NA
1988,MS,South,NA
1988,NC,South,NA
1988,NE,Midwest,NA
1988,NH,Northeast,NA
