year,state,num_sightings,name,region,decade,population,(num_sightings/population) * 1000,2017,breweries,per_capita_gdp_current,num_movies,Urban,Suburban,Rural
1975,MT,2,Montana,West,1970,694409,0.002880147002703018,NA,NA,9340,5,NA,NA,NA
1975,NC,7,North Carolina,South,1970,5082059,0.0013773944773171661,NA,NA,9340,5,NA,NA,NA
1975,ND,1,North Dakota,Midwest,1970,617761,0.0016187489983990574,NA,NA,9340,5,NA,NA,NA
1975,NH,2,New Hampshire,Northeast,1970,737681,0.0027111990142080385,NA,NA,9340,5,NA,NA,NA
1975,NJ,8,New Jersey,Northeast,1970,7168164,0.0011160458940392547,NA,NA,9340,5,NA,NA,NA
1975,NM,4,New Mexico,West,1970,1016e3,0.003937007874015748,NA,NA,9340,5,NA,NA,NA
1975,NV,6,Nevada,West,1970,488738,0.012276516252061432,NA,NA,9340,5,NA,NA,NA
1975,NY,24,New York,Northeast,1970,18236967,0.00131600830335439,NA,NA,9340,5,NA,NA,NA
1975,OH,11,Ohio,Midwest,1970,10652017,0.0010326682730603977,NA,NA,9340,5,NA,NA,NA
1975,OK,2,Oklahoma,South,1970,2559229,7.814853614115814e-4,NA,NA,9340,5,NA,NA,NA
1975,OR,2,Oregon,West,1970,2091385,9.563040760070479e-4,NA,NA,9340,5,NA,NA,NA
1975,PA,14,Pennsylvania,Northeast,1970,11793909,0.00118705341884527,NA,NA,9340,5,NA,NA,NA
1975,RI,3,Rhode Island,Northeast,1970,946725,0.0031688188227838076,NA,NA,9340,5,NA,NA,NA
1975,SC,7,South Carolina,South,1970,2590516,0.0027021643564448163,NA,NA,9340,5,NA,NA,NA
1975,TN,3,Tennessee,South,1970,3923687,7.645869815813544e-4,NA,NA,9340,5,NA,NA,NA
1975,TX,19,Texas,South,1970,11196730,0.001696924012635832,NA,NA,9340,5,NA,NA,NA
1975,UT,2,Utah,West,1970,1059273,0.0018880873957893764,NA,NA,9340,5,NA,NA,NA
1975,VA,10,Virginia,South,1970,4648494,0.0021512343567615666,NA,NA,9340,5,NA,NA,NA
1975,VT,1,Vermont,Northeast,1970,444330,0.0022505795242274886,NA,NA,9340,5,NA,NA,NA
1975,WA,14,Washington,West,1970,3409169,0.004106572598777004,NA,NA,9340,5,NA,NA,NA
1975,WI,10,Wisconsin,Midwest,1970,4417731,0.0022636054571905802,NA,NA,9340,5,NA,NA,NA
1975,WV,2,West Virginia,South,1970,1744237,0.0011466331696896694,NA,NA,9340,5,NA,NA,NA
1975,WY,1,Wyoming,West,1970,332416,0.0030082787832113977,NA,NA,9340,5,NA,NA,NA
1976,AK,5,Alaska,West,1970,300382,0.016645471433041927,NA,NA,9555,3,NA,NA,NA
1976,AL,2,Alabama,South,1970,3444165,5.806922722924134e-4,NA,NA,9555,3,NA,NA,NA
1976,AR,2,Arkansas,South,1970,1923295,0.001039882077372426,NA,NA,9555,3,NA,NA,NA
1976,AZ,4,Arizona,West,1970,1770900,0.0022587384945507937,NA,NA,9555,3,NA,NA,NA
1976,CA,34,California,West,1970,19953134,0.0017039929667189125,NA,NA,9555,3,NA,NA,NA
1976,CO,9,Colorado,West,1970,2207259,0.004077455341670371,NA,NA,9555,3,NA,NA,NA
1976,CT,6,Connecticut,Northeast,1970,3031709,0.0019790817654332916,NA,NA,9555,3,NA,NA,NA
1976,DE,1,Delaware,South,1970,548104,0.001824471268226468,NA,NA,9555,3,NA,NA,NA
1976,FL,22,Florida,South,1970,6789443,0.0032403247217776183,NA,NA,9555,3,NA,NA,NA
1976,GA,4,Georgia,South,1970,4589575,8.715403931736599e-4,NA,NA,9555,3,NA,NA,NA
1976,IA,3,Iowa,Midwest,1970,2824376,0.0010621815225734818,NA,NA,9555,3,NA,NA,NA
1976,IL,7,Illinois,Midwest,1970,11113976,6.29837602672527e-4,NA,NA,9555,3,NA,NA,NA
1976,IN,4,Indiana,Midwest,1970,5193669,7.701684493178138e-4,NA,NA,9555,3,NA,NA,NA
1976,KS,3,Kansas,Midwest,1970,2246578,0.0013353642740203098,NA,NA,9555,3,NA,NA,NA
1976,KY,10,Kentucky,South,1970,3218706,0.0031068385866866994,NA,NA,9555,3,NA,NA,NA
1976,LA,4,Louisiana,South,1970,3641306,0.0010985069642595266,NA,NA,9555,3,NA,NA,NA
1976,MA,7,Massachusetts,Northeast,1970,5689170,0.0012304079505446313,NA,NA,9555,3,NA,NA,NA
1976,MD,2,Maryland,South,1970,3922399,5.098920329114912e-4,NA,NA,9555,3,NA,NA,NA
1976,ME,6,Maine,Northeast,1970,992048,0.006048094447042885,NA,NA,9555,3,NA,NA,NA
1976,MI,11,Michigan,Midwest,1970,8875083,0.00123942502847579,NA,NA,9555,3,NA,NA,NA
1976,MN,7,Minnesota,Midwest,1970,3804971,0.0018396986468490824,NA,NA,9555,3,NA,NA,NA
1976,MO,6,Missouri,Midwest,1970,4676501,0.001283010524321496,NA,NA,9555,3,NA,NA,NA
1976,MS,5,Mississippi,South,1970,2216912,0.0022553894786982976,NA,NA,9555,3,NA,NA,NA
1976,MT,2,Montana,West,1970,694409,0.002880147002703018,NA,NA,9555,3,NA,NA,NA
1976,NC,4,North Carolina,South,1970,5082059,7.870825584669521e-4,NA,NA,9555,3,NA,NA,NA
1976,ND,2,North Dakota,Midwest,1970,617761,0.0032374979967981147,NA,NA,9555,3,NA,NA,NA
1976,NE,1,Nebraska,Midwest,1970,1483493,6.740847445859199e-4,NA,NA,9555,3,NA,NA,NA
1976,NH,4,New Hampshire,Northeast,1970,737681,0.005422398028416077,NA,NA,9555,3,NA,NA,NA
1976,NJ,6,New Jersey,Northeast,1970,7168164,8.370344205294411e-4,NA,NA,9555,3,NA,NA,NA
1976,NM,3,New Mexico,West,1970,1016e3,0.002952755905511811,NA,NA,9555,3,NA,NA,NA
1976,NV,2,Nevada,West,1970,488738,0.004092172084020477,NA,NA,9555,3,NA,NA,NA
1976,NY,16,New York,Northeast,1970,18236967,8.773388689029267e-4,NA,NA,9555,3,NA,NA,NA
1976,OH,15,Ohio,Midwest,1970,10652017,0.0014081840087187244,NA,NA,9555,3,NA,NA,NA
1976,OK,3,Oklahoma,South,1970,2559229,0.001172228042117372,NA,NA,9555,3,NA,NA,NA
1976,OR,6,Oregon,West,1970,2091385,0.0028689122280211436,NA,NA,9555,3,NA,NA,NA
1976,PA,12,Pennsylvania,Northeast,1970,11793909,0.0010174743590102315,NA,NA,9555,3,NA,NA,NA
1976,RI,3,Rhode Island,Northeast,1970,946725,0.0031688188227838076,NA,NA,9555,3,NA,NA,NA
1976,SC,2,South Carolina,South,1970,2590516,7.720469589842333e-4,NA,NA,9555,3,NA,NA,NA
1976,SD,1,South Dakota,Midwest,1970,665507,0.0015026137966993585,NA,NA,9555,3,NA,NA,NA
1976,TN,5,Tennessee,South,1970,3923687,0.0012743116359689242,NA,NA,9555,3,NA,NA,NA
1976,TX,18,Texas,South,1970,11196730,0.001607612222497104,NA,NA,9555,3,NA,NA,NA
1976,UT,2,Utah,West,1970,1059273,0.0018880873957893764,NA,NA,9555,3,NA,NA,NA
1976,VA,7,Virginia,South,1970,4648494,0.0015058640497330963,NA,NA,9555,3,NA,NA,NA
1976,VT,2,Vermont,Northeast,1970,444330,0.004501159048454977,NA,NA,9555,3,NA,NA,NA
1976,WA,13,Washington,West,1970,3409169,0.0038132459845786463,NA,NA,9555,3,NA,NA,NA
1976,WI,3,Wisconsin,Midwest,1970,4417731,6.790816371571741e-4,NA,NA,9555,3,NA,NA,NA
1976,WV,1,West Virginia,South,1970,1744237,5.733165848448347e-4,NA,NA,9555,3,NA,NA,NA
1976,WY,2,Wyoming,West,1970,332416,0.0060165575664227955,NA,NA,9555,3,NA,NA,NA
1977,AK,1,Alaska,West,1970,300382,0.0033290942866083854,NA,NA,10310,3,NA,NA,NA
1977,AL,3,Alabama,South,1970,3444165,8.710384084386201e-4,NA,NA,10310,3,NA,NA,NA
1977,AR,3,Arkansas,South,1970,1923295,0.001559823116058639,NA,NA,10310,3,NA,NA,NA
1977,AZ,4,Arizona,West,1970,1770900,0.0022587384945507937,NA,NA,10310,3,NA,NA,NA
1977,CA,42,California,West,1970,19953134,0.0021049324882998328,NA,NA,10310,3,NA,NA,NA
1977,CO,8,Colorado,West,1970,2207259,0.0036244047481514404,NA,NA,10310,3,NA,NA,NA
1977,CT,7,Connecticut,Northeast,1970,3031709,0.0023089287263388407,NA,NA,10310,3,NA,NA,NA
1977,FL,14,Florida,South,1970,6789443,0.0020620248229493935,NA,NA,10310,3,NA,NA,NA
